Wavelength,ScaleFactor,Intensity,HalogenIntensity
350.08,7.89899439815,4.32500275437,0.5475384
350.62,8.22959768093,4.57481359979,0.5558976
351.15,8.17188880224,4.60977881712,0.564102
351.69,8.23040925617,4.71158995928,0.5724612
352.23,8.30869727964,4.82586087744,0.5808204
352.76,8.28203416749,4.8783235191,0.5890248
353.3,8.32773607849,4.97485628952,0.597384
353.84,8.40154666281,5.08917976048,0.6057432
354.37,8.3896590002,5.15081100799,0.6139476
354.91,8.48526720292,5.28043948019,0.6223068
355.45,8.61332195395,5.43212930341,0.630666
355.99,8.60908271294,5.50142080245,0.6390252
356.52,8.78550131337,5.68623650085,0.6472296
357.06,8.82187153068,5.78352017055,0.6555888
357.6,8.95268279657,5.94411583741,0.663948
358.13,9.07764279132,6.10155938853,0.6721524
358.67,8.95700899491,6.09534852234,0.6805116
359.21,9.01039762831,6.20699982253,0.6888708
359.75,9.07955702365,6.3305395436,0.69723
360.28,9.11862154393,6.43848724208,0.7060812
360.82,9.19550006485,6.58110721132,0.7156878
361.36,9.19709857207,6.67060409057,0.7252944
361.9,9.31923388488,6.84871430124,0.734901
362.44,9.23597091472,6.87625053939,0.7445076
362.97,9.42790376236,7.10803887935,0.7539363
363.51,9.37662065649,7.15945212826,0.7635429
364.05,9.38383058949,7.25510392835,0.7731495
364.59,9.45110163512,7.39790745661,0.7827561
365.12,9.37189512372,7.42427286421,0.7921848
365.66,9.68522085685,7.76552679013,0.8017914
366.2,9.52330320851,7.72718917678,0.811398
366.74,9.72051306197,7.98058593823,0.8210046
367.28,9.74828604736,8.09703557174,0.8306112
367.82,9.84852492813,8.27490594836,0.8402178
368.35,9.88290740242,8.39697768429,0.8496465
368.89,9.94052421461,8.54142624703,0.8592531
369.43,9.90158480024,8.60308799906,0.8688597
369.97,10.0658294383,8.8424919431,0.8784663
370.51,10.1241828925,8.99984176142,0.888945
371.05,10.1609270394,9.13949984874,0.899475
371.59,10.2098165195,9.29098408183,0.910005
372.13,10.1574700667,9.35030670783,0.920535
372.66,10.2687627267,9.55888315944,0.93087
373.2,10.4752345032,9.86138576133,0.9414
373.74,10.5323721629,10.026081033,0.95193
374.28,10.4091568055,10.018397059,0.96246
374.82,10.7240883609,10.4344307343,0.97299
375.36,10.6211242422,10.4460881147,0.98352
375.9,10.830062218,10.7656233478,0.99405
376.44,10.8658061932,10.9155715856,1.00458
376.98,10.9571693194,11.1227321478,1.01511
377.52,10.9906256317,11.2724252729,1.02564
378.06,11.1741167506,11.5782845534,1.03617
378.6,11.1765843647,11.6985308545,1.0467
379.14,11.2141633653,11.8559499347,1.05723
379.67,11.4330905851,12.2055673504,1.067565
380.21,11.4117106046,12.3117750434,1.078872
380.75,11.579696387,12.6380806368,1.0914
381.29,11.5314240183,12.7298618537,1.103928
381.83,11.5621836955,12.9086693599,1.116456
382.37,11.7891823709,13.3097982699,1.128984
382.91,11.6670509389,13.3180786514,1.141512
383.45,11.7972335545,13.6144794112,1.15404
383.99,11.8741468115,13.8519996976,1.166568
384.53,12.043757224,14.2007459678,1.179096
385.07,12.0372540308,14.3438807972,1.191624
385.61,12.1486637757,14.6288377828,1.204152
386.15,12.228413954,14.8780666895,1.21668
386.69,12.1600522601,14.9472335186,1.229208
387.23,12.3392899691,15.3221405691,1.241736
387.77,12.3479383435,15.4875745385,1.254264
388.32,12.4511190353,15.7758666445,1.267024
388.86,12.4051578849,15.8730445819,1.279552
389.4,12.6262744552,16.3141566981,1.29208
389.94,12.5283232235,16.344550704,1.304608
390.48,12.6747764136,16.7156979307,1.318816
391.02,12.5994991429,16.7980806403,1.333234
391.56,12.8418980006,17.3064095243,1.347652
392.1,12.6993544501,17.2974097158,1.36207
392.64,12.7871601118,17.601372448,1.376488
393.18,12.814971054,17.8244201289,1.390906
393.72,12.7871370712,17.9700706175,1.405324
394.26,12.9057204167,18.3227933158,1.419742
394.8,12.9057267129,18.5088770226,1.43416
395.34,12.9042033579,18.6927450918,1.448578
395.89,13.1231651059,19.2026419423,1.463263
396.43,12.9758707643,19.1741976868,1.477681
396.97,13.1647490529,19.6431088971,1.492099
397.51,13.1666670327,19.8358077181,1.506517
398.05,13.2187376692,20.1048407768,1.520935
398.59,13.1843476878,20.2426277755,1.535353
399.13,13.2350338891,20.5112717053,1.549771
399.67,13.2382654849,20.7071492506,1.564189
400.22,13.1674022468,20.7958682681,1.5793448
400.76,13.2449923472,21.1246820025,1.5949184
401.3,13.3050763702,21.4277190535,1.610492
401.84,13.2990294374,21.6250942816,1.6260656
402.38,13.3032231998,21.8390926912,1.6416392
402.92,13.3802475474,22.1739175027,1.6572128
403.47,13.2939770824,22.2418180484,1.6730748
404.01,13.5237387325,22.8368397726,1.6886484
404.55,13.4619809262,22.9422040579,1.704222
405.09,13.4389967696,23.1123275127,1.7197956
405.63,13.5878600381,23.579953804,1.7353692
406.17,13.5904325668,23.7960700518,1.7509428
406.72,13.5341794252,23.9122531724,1.7668048
407.26,13.640582493,24.312679599,1.7823784
407.8,13.55455823,24.3704450787,1.797952
408.34,13.7085615856,24.8608273746,1.8135256
408.88,13.6337382867,24.9374597931,1.8290992
409.43,13.7575350564,25.3821183868,1.8449612
409.97,13.7676327167,25.6151597831,1.8605348
410.51,13.8076943938,25.925505113,1.8776129
411.05,13.7706909135,26.0924228437,1.8947795
411.6,13.8493950837,26.4836996404,1.912264
412.14,13.8782047446,26.7770329072,1.9294306
412.68,13.9139173997,27.0847926513,1.9465972
413.22,13.8740765314,27.2454092509,1.9637638
413.77,13.9680620096,27.6741991108,1.9812483
414.31,13.9510109175,27.8799080877,1.9984149
414.85,14.0430278331,28.3048671044,2.0155815
415.39,14.0131609516,28.4852262994,2.0327481
415.94,14.0244483648,28.7533812345,2.0502326
416.48,14.0885397177,29.1266357415,2.0673992
417.02,14.1739351157,29.5465003935,2.0845658
417.56,14.1476724394,29.7346215504,2.1017324
418.11,14.2059197231,30.1054251573,2.1192169
418.65,14.1596079073,30.2503526997,2.1363835
419.19,14.3033050588,30.8028840397,2.1535501
419.74,14.3455515092,31.1446886825,2.1710346
420.28,14.2964603185,31.288615446,2.1885568
420.82,14.3952548244,31.7618226809,2.2064092
421.36,14.4391020261,32.1163401751,2.2242616
421.91,14.4725767921,32.4539516755,2.2424446
422.45,14.4179053154,32.5887481307,2.260297
422.99,14.5770233084,33.2086369038,2.2781494
423.54,14.4723937421,33.2334266555,2.2963324
424.08,14.6173078769,33.8271517057,2.3141848
424.62,14.56728886,33.9714595247,2.3320372
425.17,14.6360286897,34.3978902743,2.3502202
425.71,14.6577300924,34.71056901,2.3680726
426.25,14.7028744884,35.0799558138,2.385925
426.8,14.7053021579,35.3531345602,2.404108
427.34,14.8086829315,35.8660436363,2.4219604
427.88,14.7510808697,35.9898759197,2.4398128
428.43,14.8042253215,36.3887236626,2.4579958
428.97,14.9053526961,36.903390643,2.4758482
429.51,14.8260843351,36.971815402,2.4937006
430.06,14.9224885986,37.4871805468,2.5121266
430.6,14.9380096123,37.8255200479,2.532166
431.14,14.8424691109,37.8810298143,2.5522054
431.69,15.0053904816,38.6031061387,2.5726159
432.23,14.9583833682,38.781931919,2.5926553
432.78,14.9605961682,39.0930221947,2.6130658
433.32,15.0596854159,39.6537359789,2.6331052
433.86,14.9551059497,39.6780585929,2.6531446
434.41,15.0536164075,40.2466729197,2.6735551
434.95,15.110829468,40.7024471456,2.6935945
435.49,15.0260772351,40.7752725691,2.7136339
436.04,15.0749545639,41.2155951057,2.7340444
