Wavelength,ScaleFactor,Intensity,HalogenIntensity
350.08,7.92261990913,4.33793862885,0.5475384
350.62,8.25398405389,4.588369926,0.5558976
351.15,8.19539600357,4.62303927641,0.564102
351.69,8.25370739195,4.72492723805,0.5724612
352.23,8.33175826782,4.83925516982,0.5808204
352.76,8.30458279228,4.89160521831,0.5890248
353.3,8.3495933815,4.98791349261,0.597384
353.84,8.42340028502,5.10241744353,0.6057432
354.37,8.41077858542,5.16377732665,0.6139476
354.91,8.50633494907,5.29355008189,0.6223068
355.45,8.63428716737,5.4453513507,0.630666
355.99,8.62962874076,5.51455023199,0.6390252
356.52,8.80608971501,5.69956192381,0.6472296
357.06,8.84223030824,5.7968671571,0.6555888
357.6,8.97298823988,5.95759759589,0.663948
358.13,9.09776556714,6.11508496059,0.6721524
358.67,8.97676623148,6.10879355101,0.6805116
359.21,9.02992479146,6.22045151503,0.6888708
359.75,9.09907586556,6.34414866575,0.69723
360.28,9.1381090429,6.45224699874,0.7060812
360.82,9.21509912948,6.59513402276,0.7156878
361.36,9.2169687659,6.68501583088,0.7252944
361.9,9.33899921001,6.86323985844,0.734901
362.44,9.25544787476,6.89075128416,0.7445076
362.97,9.44796185595,7.12316140422,0.7539363
363.51,9.39651595324,7.17464304084,0.7635429
364.05,9.40401694657,7.27071100023,0.7731495
364.59,9.47117634273,7.41362105645,0.7827561
365.12,9.39182880953,7.44006402711,0.7921848
365.66,9.70629890757,7.78242698992,0.8017914
366.2,9.54372097597,7.74375611246,0.811398
366.74,9.74190091926,7.99814546746,0.8210046
367.28,9.77003378942,8.11509948987,0.8306112
367.82,9.87082981851,8.29364691428,0.8402178
368.35,9.90511480141,8.41584612311,0.8496465
368.89,9.96350014285,8.56116838459,0.8592531
369.43,9.92447289041,8.62297453822,0.8688597
369.97,10.0897315122,8.86348910953,0.8784663
370.51,10.148538549,9.02149260046,0.888945
371.05,10.1853097322,9.16143147138,0.899475
371.59,10.2353605498,9.31422927711,0.910005
372.13,10.1828373649,9.37365819371,0.920535
372.66,10.2947329328,9.5830580452,0.93087
373.2,10.5027966378,9.88733275484,0.9414
373.74,10.5604567647,10.052815608,0.95193
374.28,10.4369693563,10.0451655267,0.96246
374.82,10.7538347416,10.4633736652,0.97299
375.36,10.6507985024,10.4752733431,0.98352
375.9,10.8610113711,10.7963883534,0.99405
376.44,10.897502677,10.9474132393,1.00458
376.98,10.9896522823,11.1557059283,1.01511
377.52,11.0236380865,11.306284167,1.02564
378.06,11.2084497164,11.6138593426,1.03617
378.6,11.2116121503,11.7351944377,1.0467
379.14,11.2494190452,11.8932232972,1.05723
379.67,11.4699293268,12.2448951018,1.067565
380.21,11.4488077901,12.3517981582,1.078872
380.75,11.6179868036,12.6798707975,1.0914
381.29,11.5695741116,12.7719768099,1.103928
381.83,11.6008483879,12.9518367877,1.116456
382.37,11.8290524663,13.3548109697,1.128984
382.91,11.7064865453,13.3630948693,1.141512
383.45,11.8372779153,13.6606922054,1.15404
383.99,11.9147897565,13.8994124566,1.166568
384.53,12.0848501186,14.2491984355,1.179096
385.07,12.0784171227,14.3929317255,1.191624
385.61,12.1903593326,14.6790455711,1.204152
386.15,12.2704900325,14.9292598128,1.21668
386.69,12.2018630338,14.9986276561,1.229208
387.23,12.3818468896,15.3749850294,1.241736
387.77,12.3903376996,15.5407545244,1.254264
388.32,12.493941949,15.830124304,1.267024
388.86,12.4479787927,15.9278361602,1.279552
389.4,12.6695937262,16.3701286617,1.29208
389.94,12.5714478098,16.4008113842,1.304608
390.48,12.7183537114,16.7731683682,1.318816
391.02,12.6429087805,16.855955845,1.333234
391.56,12.885721944,17.3654689493,1.347652
392.1,12.7427946547,17.3565783154,1.36207
392.64,12.8308580471,17.6615221315,1.376488
393.18,12.8588147697,17.885402616,1.390906
393.72,12.8308947543,18.0315643397,1.405324
394.26,12.9493004923,18.3846657795,1.419742
394.8,12.9491068968,18.5710911471,1.43416
395.34,12.9480199569,18.7562168532,1.448578
395.89,13.166973599,19.2667452893,1.463263
396.43,13.0190321314,19.237976419,1.477681
396.97,13.2088714451,19.7089438743,1.492099
397.51,13.2102328289,19.9014403307,1.506517
398.05,13.2622363325,20.1709994164,1.520935
398.59,13.228023821,20.3096860576,1.535353
399.13,13.2781522366,20.5780952699,1.549771
399.67,13.2817906337,20.7752308095,1.564189
400.22,13.2106516,20.8641739091,1.5793448
400.76,13.2880075422,21.1932877285,1.5949184
401.3,13.3481157533,21.4970336357,1.610492
401.84,13.3423823501,21.6955889616,1.6260656
402.38,13.3460464823,21.9093930703,1.6416392
402.92,13.4236445634,22.2458355931,1.6572128
403.47,13.3368831828,22.3136031637,1.6730748
404.01,13.5668722963,22.9096771962,1.6886484
404.55,13.5050220701,23.0155557223,1.704222
405.09,13.4821686147,23.1865742621,1.7197956
405.63,13.6311113325,23.6550107682,1.7353692
406.17,13.633393877,23.8712928484,1.7509428
406.72,13.577359796,23.9885444589,1.7668048
407.26,13.6835148039,24.3892012225,1.7823784
407.8,13.5979554087,24.4484711229,1.797952
408.34,13.7522319235,24.9400246504,1.8135256
408.88,13.6771797549,25.0169185479,1.8290992
409.43,13.8018453048,25.4638690758,1.8449612
409.97,13.8115633308,25.6968942194,1.8605348
410.51,13.8518734273,26.0084562363,1.8776129
411.05,13.8150504887,26.1764744574,1.8947795
411.6,13.8936980604,26.5684186278,1.912264
412.14,13.9227341472,26.8629492993,1.9294306
412.68,13.9584697486,27.1715181288,1.9465972
413.22,13.9187412535,27.3331202152,1.9637638
413.77,14.0131023732,27.7634352546,1.9812483
414.31,13.9962391943,27.9702929499,1.9984149
414.85,14.0888347371,28.3971946526,2.0155815
415.39,14.0590458581,28.5784987559,2.0327481
415.94,14.0705067759,28.8478116905,2.0502326
416.48,14.134997193,29.2226818888,2.0673992
417.02,14.2205773869,29.6437292769,2.0845658
417.56,14.19478511,29.8336397768,2.1017324
418.11,14.2533432226,30.2059258388,2.1192169
418.65,14.2074970178,30.3526622051,2.1363835
419.19,14.351588185,30.9068641709,2.1535501
419.74,14.3939296002,31.249719192,2.1710346
420.28,14.3454212675,31.3957692639,2.1885568
420.82,14.4442402041,31.8699044734,2.2064092
421.36,14.4885469798,32.2263186869,2.2242616
421.91,14.5225602248,32.5660367543,2.2424446
422.45,14.4676883841,32.7012726515,2.260297
422.99,14.6274105551,33.3234265796,2.2781494
423.54,14.5235140059,33.3508157737,2.2963324
424.08,14.6687958389,33.9463043647,2.3141848
424.62,14.6196064172,34.0934660142,2.3320372
425.17,14.6884848244,34.5211737417,2.3502202
425.71,14.7100251322,34.8344074609,2.3680726
426.25,14.7559415461,35.2065698333,2.385925
426.8,14.7586189356,35.4813138519,2.404108
427.34,14.8624592065,35.9962876447,2.4219604
427.88,14.8054716841,36.1225793249,2.4398128
428.43,14.8590628435,36.5235140612,2.4579958
428.97,14.9608721267,37.0408483254,2.4758482
429.51,14.8814749901,37.1099431118,2.4937006
430.06,14.9789161533,37.628933708,2.5121266
430.6,14.9945415231,37.9686682303,2.532166
431.14,14.8987598514,38.0246953461,2.5522054
431.69,15.0622233866,38.7493153737,2.5726159
432.23,15.0150951448,38.9289660073,2.5926553
432.78,15.0173141334,39.2412299698,2.6130658
433.32,15.1170447004,39.8047690092,2.6331052
433.86,15.0119793068,39.8289518332,2.6531446
434.41,15.1112147947,40.4006653814,2.6735551
434.95,15.1690572359,40.8592891408,2.6935945
435.49,15.0838226069,40.9319723678,2.7136339
436.04,15.1330263377,41.3743659138,2.7340444
436.58,15.1985180057,41.8579922235,2.7540838
437.13,15.166787265,42.0801648159,2.7744943
437.67,15.207956579,42.4991471682,2.7945337
438.21,15.2250002986,42.851876288,2.8145731
438.76,15.2620191241,43.2675739198,2.8349836
439.3,15.2967844761,43.6726715053,2.855023
439.85,15.2807483781,43.9387757915,2.8754335
440.39,15.292317023,44.2873758839,2.896054
440.94,15.3249535942,44.7072419212,2.917284
441.48,15.357887246,45.1234385384,2.938128
442.02,15.3827410771,45.5171001304,2.958972
442.57,15.4728241967,46.1121416165,2.980202
443.11,15.4323830122,46.3132913093,3.001046
443.66,15.433192076,46.6433660147,3.022276
444.2,15.4810910151,47.11081769,3.04312
444.75,15.5629972478,47.6904706162,3.06435
445.29,15.5288214333,47.9094267129,3.085194
445.83,15.5236050706,48.2169072463,3.106038
446.38,15.5934960068,48.7650410701,3.127268
446.92,15.6030927622,49.1202835619,3.148112
447.47,15.6349515259,49.552508539,3.169342
448.01,15.6671590911,49.9811515924,3.190186
448.56,15.7174286225,50.4752017572,3.211416
449.1,15.7866411623,51.0265287632,3.23226
