Wavelength,ScaleFactor,Intensity,HalogenIntensity
350.08,3.34626259361,1.83220726648,0.5475384
350.62,3.38583399707,1.88217699297,0.5558976
351.15,3.3499534139,1.88971542069,0.564102
351.69,3.31036788805,1.89505717364,0.5724612
352.23,3.51033581758,2.0388746537,0.5808204
352.76,3.52107516606,2.07400059547,0.5890248
353.3,3.52217633474,2.10409178755,0.597384
353.84,3.39711442567,2.05777896297,0.6057432
354.37,3.62167150449,2.22351652817,0.6139476
354.91,3.56361059827,2.21765910786,0.6223068
355.45,3.61752681189,2.28145116435,0.630666
355.99,3.64162177377,2.32708808231,0.6390252
356.52,3.76985452972,2.43996143933,0.6472296
357.06,3.75032986212,2.45867425391,0.6555888
357.6,3.83876937152,2.54874324668,0.663948
358.13,3.89694292683,2.61933954093,0.6721524
358.67,3.89867171078,2.65309132378,0.6805116
359.21,3.89689935659,2.6844601773,0.6888708
359.75,3.95958100561,2.76073866454,0.69723
360.28,3.99202733938,2.81869545422,0.7060812
360.82,4.02356111293,2.87961360108,0.7156878
361.36,4.05856401807,2.94365375435,0.7252944
361.9,4.1375003282,3.04065312869,0.734901
362.44,4.21123635049,3.13529746833,0.7445076
362.97,4.20074675373,3.16709546474,0.7539363
363.51,4.17524953123,3.1879821353,0.7635429
364.05,4.32330415989,3.34256044957,0.7731495
364.59,4.36454849139,3.41637695538,0.7827561
365.12,4.44079280881,3.51792856309,0.7921848
365.66,4.47423160149,3.58740041968,0.8017914
366.2,4.49989934728,3.65120933058,0.811398
366.74,4.59542515667,3.77286519258,0.8210046
367.28,4.60354576448,3.82375667169,0.8306112
367.82,4.67712770949,3.92980595439,0.8402178
368.35,4.72089893575,4.01109525761,0.8496465
368.89,4.81285455677,4.13546019775,0.8592531
369.43,4.82350818897,4.19095187802,0.8688597
369.97,4.88796713974,4.29391440777,0.8784663
370.51,4.96993788317,4.41800143155,0.888945
371.05,4.97174242901,4.47195802133,0.899475
371.59,5.06046799199,4.60505117505,0.910005
372.13,5.10265753804,4.69717485678,0.920535
372.66,5.1812470158,4.82306740959,0.93087
373.2,5.27466731755,4.96557181274,0.9414
373.74,5.22961046058,4.97822308574,0.95193
374.28,5.35524508289,5.15420918248,0.96246
374.82,5.48722696675,5.33901696638,0.97299
375.36,5.49362354473,5.40308862871,0.98352
375.9,5.48149882011,5.44888390213,0.99405
376.44,5.6319026878,5.65769680211,1.00458
376.98,5.71102167538,5.79731521289,1.01511
377.52,5.72432491529,5.87109660612,1.02564
378.06,5.80249154471,6.01236766388,1.03617
378.6,5.82460529429,6.09661436153,1.0467
379.14,5.92198769761,6.26090305354,1.05723
379.67,6.03113402385,6.43862759417,1.067565
380.21,6.08058460003,6.56017246861,1.078872
380.75,6.08285211452,6.63882479779,1.0914
381.29,6.13165685905,6.76890769309,1.103928
381.83,6.17755972978,6.89697362568,1.116456
382.37,6.2625169204,7.07028140286,1.128984
382.91,6.29548969835,7.18637703654,1.141512
383.45,6.42526875581,7.41501715496,1.15404
383.99,6.41805987562,7.48710327298,1.166568
384.53,6.48905224621,7.65121554729,1.179096
385.07,6.53052042324,7.78192486882,1.191624
385.61,6.53691370176,7.8714377078,1.204152
386.15,6.61393078264,8.04703730462,1.21668
386.69,6.68265634152,8.21437463625,1.229208
387.23,6.73106156071,8.35820145815,1.241736
387.77,6.7518235416,8.46856920258,1.254264
388.32,6.84412999026,8.67167695678,1.267024
388.86,6.89456933597,8.82195998298,1.279552
389.4,6.93164884387,8.95624483819,1.29208
389.94,6.9795050757,9.10551815779,1.304608
390.48,7.04537649733,9.2915552507,1.318816
391.02,7.08546554958,9.44658357653,1.333234
391.56,7.08020137548,9.54164754407,1.347652
392.1,7.18668099964,9.78876258918,1.36207
392.64,7.22099001172,9.93960609925,1.376488
393.18,7.2120248244,10.0312486004,1.390906
393.72,7.33949222531,10.314364572,1.405324
394.26,7.37545017335,10.47123638,1.419742
394.8,7.42421550456,10.647512908,1.43416
395.34,7.4226460897,10.7522818273,1.448578
395.89,7.50189288763,10.9772422924,1.463263
396.43,7.49524493139,11.0755810255,1.477681
396.97,7.51762818567,11.2170454982,1.492099
397.51,7.52756909505,11.3404108104,1.506517
398.05,7.53067779892,11.4536714381,1.520935
398.59,7.61374266216,11.6897826376,1.535353
399.13,7.64596376475,11.8494929097,1.549771
399.67,7.65990222089,11.981534795,1.564189
400.22,7.7110287299,12.1783731272,1.5793448
400.76,7.76817288509,12.3896018688,1.5949184
401.3,7.75878275608,12.4954575584,1.610492
401.84,7.81659211767,12.7102915518,1.6260656
402.38,7.83974476722,12.8700323279,1.6416392
402.92,7.87962222471,13.05821081,1.6572128
403.47,7.91297272415,13.2389952579,1.6730748
404.01,7.90972837407,13.3567501633,1.6886484
404.55,7.92321557174,13.5029182881,1.704222
405.09,7.98631566977,13.7348305491,1.7197956
405.63,7.97598597897,13.8412804075,1.7353692
406.17,8.03755542947,14.0732998088,1.7509428
406.72,8.06729366016,14.2533331618,1.7668048
407.26,8.08439242516,14.4094464357,1.7823784
407.8,8.13601017503,14.6281557662,1.797952
408.34,8.16866605249,14.814085004,1.8135256
408.88,8.16347161584,14.9317994018,1.8290992
409.43,8.20684614731,15.1413127161,1.8449612
409.97,8.2145376159,15.2834331003,1.8605348
410.51,8.27730728435,15.5415789344,1.8776129
411.05,8.26534064534,15.6609980153,1.8947795
411.6,8.31793696141,15.9060914056,1.912264
412.14,8.27665135497,15.9692243898,1.9294306
412.68,8.36872091963,16.2905287097,1.9465972
413.22,8.35263537615,16.4026029863,1.9637638
413.77,8.4084373206,16.6592021471,1.9812483
414.31,8.44249644773,16.8716106943,1.9984149
414.85,8.46040191271,17.0526295778,2.0155815
415.39,8.47388736958,17.2252784501,2.0327481
415.94,8.52513472658,17.4785091358,2.0502326
416.48,8.52966860731,17.634230055,2.0673992
417.02,8.56680022982,17.8580587745,2.0845658
417.56,8.56641599788,18.0043140546,2.1017324
418.11,8.63790358264,18.3055912529,2.1192169
418.65,8.66769690832,18.5175246579,2.1363835
419.19,8.67436598739,18.6806817396,2.1535501
419.74,8.70652524231,18.9021675468,2.1710346
420.28,8.71671415753,19.0770240431,2.1885568
420.82,8.71399148649,19.2266309845,2.2064092
421.36,8.74945228604,19.4610707409,2.2242616
421.91,8.79818070726,19.7294328168,2.2424446
422.45,8.81448306165,19.9233496208,2.260297
422.99,8.86478190775,20.1952975843,2.2781494
423.54,8.88301711327,20.398360007,2.2963324
424.08,8.87287834453,20.5334801972,2.3141848
424.62,8.89779111103,20.7499798688,2.3320372
425.17,8.93003205118,20.9875417133,2.3502202
425.71,8.96259910806,21.2240853726,2.3680726
426.25,8.98842949485,21.4457186425,2.385925
426.8,9.02839551946,21.7052378955,2.404108
427.34,9.03313802474,21.8779025837,2.4219604
427.88,9.09277906404,22.184678748,2.4398128
428.43,9.07532472781,22.3071100646,2.4579958
