8° Hemispherical Reflectance
Cal_Spektralon.xlsx	
	
Messungen:	11.07.2016
Ort:	Iffeldorf
wer:	Anna Göritz, Peter Gege
Messgerät:	Perkin-Elmer Lambda 1050
Spektralon:	SRT-10-050, kleines graues vom DLR, sichtbare Spuren von Verschmutzung
Ser.No.	22590-41
	
300	0.1047512
301	0.1047092
302	0.1046612
303	0.1045782
304	0.1045014
305	0.1044841
306	0.1044645
307	0.1044233
308	0.1043332
309	0.1042515
310	0.1041499
311	0.1040498
312	0.1039833
313	0.1039486
314	0.1039269
315	0.1039021
316	0.1038651
317	0.1038467
318	0.1038575
319	0.103845
320	0.1038244
321	0.1037897
322	0.1037324
323	0.1036837
324	0.1035919
325	0.10355
326	0.103497
327	0.1034539
328	0.1034437
329	0.103442
330	0.1033798
331	0.103365
332	0.1033351
333	0.103236
334	0.1031748
335	0.1031407
336	0.1031099
337	0.1030911
338	0.1030781
339	0.1030385
340	0.1030279
341	0.102986
342	0.1029292
343	0.1029067
344	0.1029053
345	0.1028713
346	0.1028566
347	0.1028661
348	0.1028413
349	0.102835
350	0.1028121
351	0.1028101
352	0.1027682
353	0.1027514
354	0.1027044
355	0.1026815
356	0.1026469
357	0.1026388
358	0.102581
359	0.1025639
360	0.1025545
361	0.102522
362	0.1025141
363	0.1025239
364	0.1025219
365	0.102537
366	0.102547
367	0.1025497
368	0.1025734
369	0.1025632
370	0.1025144
371	0.1024761
372	0.1024463
373	0.1024302
374	0.1024153
375	0.10241
376	0.1024129
377	0.1024112
378	0.1024123
379	0.1024251
380	0.1024343
381	0.1024608
382	0.1024787
383	0.1024805
384	0.1025036
385	0.1025314
386	0.1025376
387	0.1025444
388	0.1025441
389	0.102541
390	0.1025468
391	0.1025405
392	0.1025807
393	0.1026001
394	0.1026151
395	0.1026312
396	0.1026592
397	0.1026317
398	0.1026482
399	0.1026726
400	0.1026692
401	0.1026886
402	0.1026975
403	0.1026842
404	0.1026907
405	0.1027073
406	0.1027055
407	0.1027304
408	0.1027687
409	0.1027878
410	0.102798
411	0.1028104
412	0.1028225
413	0.1028349
414	0.1028188
415	0.1028302
416	0.1028383
417	0.1028375
418	0.1028281
419	0.1028631
420	0.1028735
421	0.1029013
422	0.1029162
423	0.1029382
424	0.1029337
425	0.1029356
426	0.102929
427	0.1029463
428	0.1029706
429	0.1029791
430	0.103001
431	0.1030081
432	0.1030213
433	0.1030358
434	0.1030575
435	0.1030893
436	0.103126
437	0.1031462
438	0.1031575
439	0.1031807
440	0.1031959
441	0.1032093
442	0.1032281
443	0.1032493
444	0.1032652
445	0.1032779
446	0.1032982
447	0.1033173
448	0.1033239
449	0.1033412
450	0.1033559
451	0.1033721
452	0.1034007
453	0.1034331
454	0.1034605
455	0.1034955
456	0.1035221
457	0.1035249
458	0.1035368
459	0.1035563
460	0.1035585
461	0.1035783
462	0.1036045
463	0.103626
464	0.1036345
465	0.1036481
466	0.1036545
467	0.10367
468	0.1036722
469	0.1036886
470	0.103706
471	0.1037224
472	0.1037369
473	0.1037714
474	0.1037963
475	0.1038258
476	0.1038467
477	0.1038545
478	0.1038642
479	0.1038726
480	0.1038795
481	0.1038952
482	0.1039338
483	0.1039706
484	0.1040045
485	0.1040387
486	0.1040612
487	0.1040629
488	0.1040716
489	0.1040839
490	0.1040974
491	0.1041299
492	0.1041628
493	0.1041959
494	0.1042278
495	0.104244
496	0.1042621
497	0.1042951
498	0.1043095
499	0.1043281
500	0.1043634
501	0.1043812
502	0.1043939
503	0.1044184
504	0.104439
505	0.104455
506	0.1044784
507	0.104491
508	0.1044989
509	0.1045152
510	0.1045293
511	0.1045451
512	0.1045678
513	0.1045852
514	0.104598
515	0.1046177
516	0.1046335
517	0.1046557
518	0.1046858
519	0.104714
520	0.1047435
521	0.1047751
522	0.1047976
523	0.1048181
524	0.1048364
525	0.104843
526	0.1048545
527	0.1048766
528	0.1048941
529	0.1049255
530	0.1049663
531	0.1049932
532	0.1050123
533	0.105037
534	0.1050532
535	0.1050742
536	0.1051056
537	0.1051278
538	0.1051484
539	0.1051741
540	0.1051919
541	0.1052112
542	0.1052455
543	0.1052699
544	0.105289
545	0.1053135
546	0.1053388
547	0.1053627
548	0.1053887
549	0.1054144
550	0.1054326
551	0.1054437
552	0.1054598
553	0.1054864
554	0.1055172
555	0.105554
556	0.105599
557	0.1056354
558	0.1056598
559	0.1056825
560	0.1057001
561	0.1057073
562	0.1057173
563	0.1057395
564	0.1057648
565	0.1057894
566	0.1058218
567	0.1058517
568	0.1058667
569	0.1058821
570	0.105906
571	0.105932
572	0.1059614
573	0.1059957
574	0.1060193
575	0.1060415
576	0.1060625
577	0.1060798
578	0.106113
579	0.1061453
580	0.1061688
581	0.1061833
582	0.1061958
583	0.1062061
584	0.1062286
585	0.106251
586	0.1062871
587	0.1063198
588	0.1063472
589	0.1063668
590	0.1063909
591	0.1064067
592	0.106433
593	0.106451
594	0.1064731
595	0.1065068
596	0.1065449
597	0.106563
598	0.106592
599	0.1066261
600	0.106648
601	0.1066757
602	0.1067016
603	0.1067268
604	0.1067431
605	0.1067551
606	0.1067673
607	0.1067954
608	0.1068205
609	0.1068437
610	0.1068827
611	0.1068942
612	0.1069216
613	0.1069552
614	0.106986
615	0.1070085
616	0.1070479
617	0.107071
618	0.1070904
619	0.1071102
620	0.1071335
621	0.1071405
622	0.1071711
623	0.1071899
624	0.107209
625	0.1072277
626	0.1072753
627	0.1072963
628	0.1073233
629	0.1073602
630	0.1073871
631	0.1074005
632	0.1074099
633	0.1074267
634	0.1074475
635	0.1074653
636	0.1074838
637	0.1075178
638	0.1075613
639	0.107591
640	0.1076292
641	0.1076724
642	0.1077091
643	0.1077363
644	0.1077626
645	0.1077903
646	0.1078132
647	0.1078333
648	0.1078423
649	0.1078659
650	0.1079024
651	0.1079343
652	0.1079642
653	0.1080054
654	0.1080323
655	0.1080566
656	0.1080638
657	0.1081012
658	0.1081238
659	0.1081542
660	0.1081599
661	0.1082066
662	0.10821
663	0.1082226
664	0.1082572
665	0.1083042
666	0.1083196
667	0.1083661
668	0.1083987
669	0.1084185
670	0.1084517
671	0.1084916
672	0.1085197
673	0.1085479
674	0.1085709
675	0.1085885
676	0.1086041
677	0.1086207
678	0.1086503
679	0.1086988
680	0.1087352
681	0.1087769
682	0.1088287
683	0.1088519
684	0.1088571
685	0.108897
686	0.1089267
687	0.1089471
688	0.1089784
689	0.1090179
690	0.1090088
691	0.1090392
692	0.109067
693	0.1091011
694	0.1091233
695	0.1091709
696	0.1091783
697	0.1092016
698	0.109244
699	0.1092823
700	0.1093097
701	0.1093608
702	0.109383
703	0.1093994
704	0.1093934
705	0.1094277
706	0.1094457
707	0.1094738
708	0.109518
709	0.1095724
710	0.1096
711	0.1096315
712	0.1096637
713	0.1096847
714	0.1097026
715	0.1097172
716	0.1097389
717	0.1097731
718	0.1097868
719	0.1098424
720	0.1098858
721	0.1099224
722	0.1099419
723	0.1100045
724	0.1100083
725	0.1100333
726	0.1100561
